This is the complete list of games supported by MAME 0.74 (Sep 14 2003).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Metro-Cross                      |  Yes  |  Yes  |  Yes  |  Yes  | metrocrs |
| Michael Jackson's Moonwalker     | No(1) |  Yes  |  Yes  |  Yes  | moonwalk |
| Midnight Resistance              |  Yes  |  Yes  |  Yes  |  Yes  | midres   |
| Mighty Guy                       |   No  |  Yes  |Partial|  Yes  | mightguy |
| Mighty Monkey                    |  Yes  |  Yes  |  Yes  |  Yes  | mimonkey |
| Mighty! Pang                     |  Yes  |  Yes  |  Yes  |  Yes  | mpangj   |
| Mikie                            |  Yes  |  Yes  |  Yes  |  Yes  | mikie    |
| Mille Miglia 2: Great 1000 Miles |  Yes  |  Yes  |  Yes  |  Yes  | gtmr2    |
| Millipede                        |  Yes  |  Yes  |  Yes  |  Yes  | milliped |
| Minefield                        |  Yes  |  Yes  |  Yes  |  Yes  | minefld  |
| Minesweeper                      |  Yes  |  Yes  |Part(2)|  Yes  | mineswpr |
| Mini Golf                        |  Yes  |  Yes  |  Yes  |  Yes  | minigolf |
| Minivader                        |  Yes  |  Yes  |  Yes  |  Yes  | minivadr |
| Minky Monkey                     |  Yes  |  Yes  |  Yes  |  Yes  | mmonkey  |
| Minnasanno Okagesamadesu         |  Yes  |  Yes  |  Yes  |  Yes  | minasan  |
| Mirai Ninja                      |  Yes  |  Yes  |  Yes  |  Yes  | mirninja |
| Miss Mahjong Contest             |  Yes  |  Yes  |  Yes  |  Yes  | mcontest |
| Miss World '96 Nude              |  Yes  |  Yes  |  Yes  |   No  | missw96  |
| Missile Command                  |  Yes  |  Yes  |  Yes  |  Yes  | missile  |
| Missing in Action                |  Yes  |  Yes  |  Yes  |  Yes  | mia      |
| Mission 660                      |  Yes  |  Yes  |  Yes  |  Yes  | m660     |
| Mister Viking                    |  Yes  |  Yes  |  Yes  |  Yes  | mrviking |
| Miyasu Nonki no Quiz 18-Kin      |  Yes  |  Yes  |  Yes  |   No  | quiz18k  |
| Mobile Suit Gundam               |  Yes  |  Yes  |  Yes  |  Yes  | msgundam |
| Moguchan                         |  Yes  |   No  |  Yes  |  Yes  | moguchan |
| Mogura Desse                     |  Yes  |  Yes  |   No  |  Yes  | mogura   |
| Mole Attack                      |  Yes  |  Yes  |  Yes  |  Yes  | mole     |
| Momoko 120%                      |  Yes  |  Yes  |  Yes  |  Yes  | momoko   |
| Money Money                      |  Yes  |  Yes  |Partial|  Yes  | monymony |
| Money Puzzle Exchanger / Money Id|  Yes  |  Yes  |  Yes  |  Yes  | miexchng |
| Monster Bash                     |  Yes  |  Yes  | Yes(2)|  Yes  | monsterb |
| Monster Slider                   |  Yes  |  Yes  |  Yes  |   No  | mslider  |
| Monte Carlo                      |  Yes  |  Yes  |  Yes  |  Yes  | montecar |
| Moon Alien Part 2                |  Yes  |  Yes  |  Yes  |  Yes  | moonal2  |
| Moon Cresta                      |  Yes  |  Yes  |  Yes  |  Yes  | mooncrst |
| Moon Patrol                      |  Yes  |  Yes  |  Yes  |  Yes  | mpatrol  |
| Moon Quasar                      |  Yes  |  Yes  |  Yes  |  Yes  | moonqsr  |
| Moon Shuttle                     |  Yes  |  Yes  |  Yes  |  Yes  | mshuttle |
| Moonwar                          |  Yes  |  Yes  |  Yes  |  Yes  | moonwar  |
| Moriguchi Hiroko no Quiz de Hyuu!|  Yes  |  Yes  |  Yes  |  Yes  | quizhuhu |
| Mortal Kombat                    |  Yes  |  Yes  |  Yes  |  Yes  | mk       |
| Mortal Kombat 3                  |  Yes  |  Yes  |  Yes  |  Yes  | mk3      |
| Mortal Kombat II                 |  Yes  |  Yes  |  Yes  |  Yes  | mk2      |
| Mosaic                           |  Yes  |  Yes  |  Yes  |  Yes  | mosaic   |
| Motos                            |  Yes  |  Yes  |  Yes  |  Yes  | motos    |
| Mouja                            |  Yes  |  Yes  |  Yes  |   No  | mouja    |
| Mouse Trap                       |  Yes  |  Yes  |  Yes  |  Yes  | mtrap    |
| Mouser                           |  Yes  |  Yes  |  Yes  |  Yes  | mouser   |
| Mr. Do!                          |  Yes  |  Yes  |  Yes  |  Yes  | mrdo     |
| Mr. Do's Castle                  |  Yes  |  Yes  |  Yes  |  Yes  | docastle |
| Mr. Do's Wild Ride               |  Yes  |  Yes  |  Yes  |  Yes  | dowild   |
| Mr. Goemon                       |  Yes  |  Yes  |  Yes  |  Yes  | mrgoemon |
| Mr. Jong                         |  Yes  |  Yes  |  Yes  |  Yes  | mrjong   |
| Mr. Kougar                       |  Yes  |  Yes  |  Yes  |  Yes  | mrkougar |
| Mr. TNT                          |  Yes  |   No  |  Yes  |  Yes  | mrtnt    |
| Ms. Pac-Man                      |  Yes  |  Yes  |  Yes  |  Yes  | mspacman |
| Mug Smashers                     |  Yes  |  Yes  |  Yes  |  Yes  | mugsmash |
| Multi Champ                      |  Yes  |  Yes  |  Yes  |  Yes  | multchmp |
| Musashi Ganryuuki                |  Yes  |  Yes  |  Yes  |  Yes  | ganryu   |
| Mustache Boy                     |  Yes  |  Yes  |   No  |  Yes  | mustache |
| Mutant Fighter                   |  Yes  |  Yes  |  Yes  |  Yes  | mutantf  |
| Mutant Night                     |  Yes  |  Yes  |  Yes  |  Yes  | mnight   |
| Mutation Nation                  |  Yes  |  Yes  |  Yes  |  Yes  | mutnat   |
| My Hero                          |  Yes  |  Yes  |  Yes  |  Yes  | myhero   |
| Mysterious Stones                |  Yes  |  Yes  |  Yes  |  Yes  | mystston |
| Mystic Marathon                  |  Yes  |  Yes  |  Yes  |  Yes  | mysticm  |
| Mystic Riders                    |  Yes  |  Yes  |  Yes  |  Yes  | mysticri |
| Mystic Warriors                  |  Yes  |  Yes  |  Yes  |  Yes  | mystwarr |
| N.Y. Captor                      |  Yes  |  Yes  |Partial|  Yes  | nycaptor |
| NAM-1975                         |  Yes  |  Yes  |  Yes  |  Yes  | nam1975  |
| NATO Defense                     |  Yes  |  Yes  | Yes(2)|  Yes  | natodef  |
| NBA Hangtime                     |  Yes  |  Yes  |  Yes  |  Yes  | nbahangt |
| NBA Jam                          |  Yes  |  Yes  |  Yes  |  Yes  | nbajam   |
| Namco Classics Collection Vol.1  |  Yes  |  Yes  |   No  |  Yes  | ncv1     |
| Name That Tune                   |  Yes  |  Yes  |  Yes  |  Yes  | nametune |
| Naname de Magic!                 |  Yes  |  Yes  |  Yes  |   No  | naname   |
| Narc                             |  Yes  |  Yes  |  Yes  |  Yes  | narc     |
| Nastar                           |  Yes  |  Yes  |  Yes  |  Yes  | nastar   |
| Naughty Boy                      |  Yes  |  Yes  |  Yes  |   No  | naughtyb |
| Naughty Mouse                    |  Yes  |  Yes  |  Yes  |  Yes  | nmouse   |
| Navalone                         |  Yes  |  Yes  |Partial|  Yes  | navalone |
| Nebulas Ray                      |  Yes  |  Yes  |   No  |  Yes  | nebulray |
| Neck-n-Neck                      |  Yes  |  Yes  |  Yes  |  Yes  | neckneck |
| Nekketsu Grand-Prix Gal          |  Yes  |  Yes  |  Yes  |  Yes  | ngpgal   |
| Nekketsu Mahjong Sengen! AFTER 5 |  Yes  |  Yes  |  Yes  |  Yes  | nmsengen |
| Nemesis                          |  Yes  |  Yes  |  Yes  |  Yes  | nemesis  |
| Nemo                             |  Yes  |  Yes  |  Yes  |  Yes  | nemo     |
| Neo Bomberman                    |  Yes  |  Yes  |  Yes  |  Yes  | neobombe |
| Neo Drift Out - New Technology   |  Yes  |  Yes  |  Yes  |  Yes  | neodrift |
| Neo Mr. Do!                      |  Yes  |  Yes  |  Yes  |  Yes  | neomrdo  |
| Neo Turf Masters / Big Tournament|  Yes  |  Yes  |  Yes  |  Yes  | turfmast |
| Neo-Geo Cup '98 - The Road to the|  Yes  |  Yes  |  Yes  |  Yes  | neocup98 |
| Net Wars                         |  Yes  |  Yes  |  Yes  |  Yes  | netwars  |
| Nettou! Gekitou! Quiztou!!       |  Yes  |  Yes  |Partial|  Yes  | quiztou  |
| New Fantasia                     |  Yes  |  Yes  |  Yes  |   No  | newfant  |
| New Rally X                      |  Yes  |  Yes  | Yes(2)|  Yes  | nrallyx  |
| New Sinbad 7                     |  Yes  | Close |  Yes  |  Yes  | newsin7  |
| New York New York                |  Yes  |  Yes  |Partial|  Yes  | nyny     |
| NewZealand Story, The            |  Yes  |  Yes  |  Yes  |  Yes  | tnzs     |
| News                             |  Yes  |  Yes  |  Yes  |  Yes  | news     |
| Next Space, The                  |  Yes  |  Yes  |  Yes  |   No  | tnexspce |
| Nibbler                          |  Yes  |  Yes  |Part(2)|  Yes  | nibbler  |
| Night Driver                     |  Yes  |  Yes  |Partial|  Yes  | nitedrvr |
| Night Stocker                    |  Yes  |  Yes  |  Yes  |  Yes  | nstocker |
| Night Striker                    |  Yes  |  Yes  |  Yes  |  Yes  | nightstr |
| Night Warriors: Darkstalkers' Rev|  Yes  |  Yes  |  Yes  |  Yes  | nwarr    |
| Nightmare in the Dark            |  Yes  |  Yes  |  Yes  |  Yes  | nitd     |
| Ninja Baseball Batman            |  Yes  |  Yes  |  Yes  |  Yes  | nbbatman |
| Ninja Clowns                     |  Yes  |  Yes  |  Yes  |  Yes  | ninclown |
| Ninja Combat                     |  Yes  |  Yes  |  Yes  |  Yes  | ncombat  |
| Ninja Commando                   |  Yes  |  Yes  |  Yes  |  Yes  | ncommand |
| Ninja Emaki                      |  Yes  |  Yes  |  Yes  |  Yes  | ninjemak |
| Ninja Kids, The                  |  Yes  |  Yes  |  Yes  |  Yes  | ninjak   |
| Ninja Master's - haoh-ninpo-cho  |  Yes  |  Yes  |  Yes  |  Yes  | ninjamas |
| Ninja Spirit                     |  Yes  |  Yes  |  Yes  |   No  | nspirit  |
| Ninja Warriors, The              |  Yes  |  Yes  |  Yes  |  Yes  | ninjaw   |
| Ninja-Kid II                     |  Yes  |  Yes  |   No  |  Yes  | ninjakd2 |
| Ninjakun Majou no Bouken         |  Yes  |  Yes  |  Yes  |  Yes  | ninjakun |
| Nintendo Super System: Act Raiser|   No  |  Yes  |   No  |  Yes  | nss_actr |
| Nintendo Super System: Contra 3: |   No  |  Yes  |   No  |  Yes  | nss_con3 |
| Nintendo Super System: David Cran|   No  |  Yes  |   No  |  Yes  | nss_aten |
| Nintendo Super System: F-Zero    |   No  |  Yes  |   No  |  Yes  | nss_fzer |
| Nintendo Super System: Lethal Wea|   No  |  Yes  |   No  |  Yes  | nss_lwep |
| Nintendo Super System: NCAA Baske|   No  |  Yes  |   No  |  Yes  | nss_ncaa |
| Nintendo Super System: Robocop 3 |   No  |  Yes  |   No  |  Yes  | nss_rob3 |
| Nintendo Super System: Skins Game|   No  |  Yes  |   No  |  Yes  | nss_skin |
| Nintendo Super System: Super Mari|   No  |  Yes  |   No  |  Yes  | nss_smw  |
| Nintendo Super System: Super Socc|   No  |  Yes  |   No  |  Yes  | nss_ssoc |
| Nintendo Super System: Super Tenn|   No  |  Yes  |   No  |  Yes  | nss_sten |
| Nintendo Super System: The Addams|   No  |  Yes  |   No  |  Yes  | nss_adam |
| Nitro Ball                       |  Yes  |  Yes  |  Yes  |  Yes  | nitrobal |
| Niyanpai                         |  Yes  |  Yes  |  Yes  |  Yes  | niyanpai |
| No Man's Land                    |  Yes  |  Yes  |Partial|  Yes  | nomnlnd  |
| Noboranka                        |  Yes  |  Yes  |  Yes  |  Yes  | noboranb |
| Nostradamus                      |  Yes  |  Yes  |  Yes  |   No  | nost     |
| Nouryoku Koujou Iinkai           |  Yes  |  Yes  |  Yes  |   No  | nouryoku |
| Nova 2001                        |  Yes  |  Yes  |  Yes  |  Yes  | nova2001 |
| Numan Athletics                  |  Yes  |  Yes  |Partial|  Yes  | numanath |
| Nunchackun                       |  Yes  | Close |  Yes  |  Yes  | nunchaku |
| Off Road Challenge               |   No  |  Yes  |  Yes  |  Yes  | offroadc |
| Off the Wall                     |  Yes  |  Yes  |  Yes  |  Yes  | offtwall |
| Off the Wall                     |  Yes  |  Yes  |  Yes  |  Yes  | otwalls  |
| Oh My God!                       |  Yes  |  Yes  |  Yes  |   No  | ohmygod  |
| Oishii Puzzle Ha Irimasenka      |  Yes  |  Yes  |  Yes  |  Yes  | oisipuzl |
| Ojanko Club                      |  Yes  |  Yes  |  Yes  |  Yes  | ojankoc  |
| Ojanko High School               |  Yes  |  Yes  |  Yes  |  Yes  | ojankohs |
| Ojanko Yakata                    |  Yes  |  Yes  |  Yes  |  Yes  | ojankoy  |
| Ojanko Yakata 2bankan            |  Yes  |  Yes  |  Yes  |  Yes  | ojanko2  |
| Ojousan                          |  Yes  |  Yes  |  Yes  |  Yes  | ojousan  |
| Oli-Boo-Chu                      |  Yes  |   No  |Partial|  Yes  | olibochu |
| Omega Fighter                    |  Yes  |  Yes  |  Yes  |   No  | omegaf   |
| Omega Race                       |  Yes  |  Yes  |  Yes  |   No  | omegrace |
| One Shot One Kill                |  Yes  |  Yes  |  Yes  |  Yes  | oneshot  |
| Onna Sansirou - Typhoon Gal      |   No  |  Yes  |Partial|  Yes  | onna34ro |
| Operation Thunderbolt            |  Yes  |  Yes  |  Yes  |  Yes  | othunder |
| Operation Wolf                   |  Yes  |  Yes  |  Yes  |  Yes  | opwolf   |
| Operation Wolf 3                 |  Yes  |  Yes  |  Yes  |  Yes  | opwolf3  |
| Orange Club - Maruhi Kagai Jugyou|  Yes  |  Yes  |  Yes  |  Yes  | orangec  |
| Orbit                            |  Yes  |  Yes  |  Yes  |  Yes  | orbit    |
| Orbitron                         |  Yes  |  Yes  |  Yes  |  Yes  | orbitron |
| Ordyne                           |  Yes  |  Yes  |  Yes  |  Yes  | ordyne   |
| Oriental Legend / Xi Yo Gi Shi Re|  Yes  |  Yes  |   No  |  Yes  | orlegend |
| Othello Derby                    |  Yes  |  Yes  |  Yes  |  Yes  | othldrby |
| Otome Ryouran                    |  Yes  |  Yes  |  Yes  |  Yes  | ryouran  |
| Otona no Mahjong                 |  Yes  |  Yes  |  Yes  |  Yes  | otonano  |
| Out Run                          |  Yes  |  Yes  |  Yes  |  Yes  | outrun   |
| Out Zone                         |  Yes  |  Yes  |  Yes  |  Yes  | outzone  |
| Outfoxies                        |  Yes  |  Yes  |   No  |  Yes  | outfxies |
| Outrunners                       |  Yes  |  Yes  |  Yes  |  Yes  | orunners |
| Over Drive                       |  Yes  |  Yes  |  Yes  |  Yes  | overdriv |
| Over Top                         |  Yes  |  Yes  |  Yes  |  Yes  | overtop  |
| Ozma Wars                        |  Yes  |  Yes  | Yes(2)|  Yes  | ozmawars |
| Ozon I                           |  Yes  |  Yes  |  Yes  |  Yes  | ozon1    |
| P-47 - The Phantom Fighter       |  Yes  |  Yes  |  Yes  |  Yes  | p47      |
| P-47 Aces                        |  Yes  |  Yes  |   No  |  Yes  | p47aces  |
| P.O.W. - Prisoners of War        |  Yes  |  Yes  |  Yes  |  Yes  | pow      |
| Pac & Pal                        |  Yes  |  Yes  |  Yes  |  Yes  | pacnpal  |
| Pac-Land                         |  Yes  |  Yes  |  Yes  |   No  | pacland  |
| Pac-Man Plus                     |  Yes  |  Yes  |  Yes  |  Yes  | pacplus  |
| Pac-Mania                        |  Yes  |  Yes  |  Yes  |  Yes  | pacmania |
| Pachinko Sexy Reaction           |  Yes  |  Yes  |  Yes  |   No  | sxyreact |
| Paddle Mania                     |  Yes  |  Yes  |  Yes  |  Yes  | paddlema |
| Pairs                            |  Yes  |  Yes  |Partial|  Yes  | pairsten |
| Pairs                            |  Yes  |  Yes  |  Yes  |  Yes  | pairs    |
| Palamedes                        |  Yes  |  Yes  |  Yes  |  Yes  | palamed  |
| Pandora's Palace                 |  Yes  |  Yes  |  Yes  |  Yes  | pandoras |
| Pang                             |  Yes  |  Yes  |  Yes  |  Yes  | pang     |
| Pang Poms                        |  Yes  |  Yes  |   No  |  Yes  | pangpoms |
| Pang! 3                          |  Yes  |  Yes  |  Yes  |  Yes  | pang3    |
| Panic Bomber                     |  Yes  |  Yes  |  Yes  |  Yes  | panicbom |
| Panic Street                     |  Yes  |  Yes  |  Yes  |  Yes  | panicstr |
| Paperboy                         |  Yes  |  Yes  |  Yes  |  Yes  | paperboy |
| Paradise                         |  Yes  |  Yes  |  Yes  |  Yes  | paradise |
| Parodius DA!                     |  Yes  |  Yes  |  Yes  |  Yes  | parodius |
| Pass                             |  Yes  |  Yes  |Partial|  Yes  | pass     |
| Passing Shot                     | No(1) |  Yes  |  Yes  |  Yes  | passsht  |
| Pastel Gal                       |  Yes  |  Yes  |  Yes  |  Yes  | pastelgl |
| Peek-a-Boo!                      |  Yes  |  Yes  |  Yes  |  Yes  | peekaboo |
| Peggle                           |  Yes  |  Yes  |  Yes  |  Yes  | peggle   |
| Pengo                            |  Yes  |  Yes  |  Yes  |  Yes  | pengo    |
| Penguin Brothers                 |  Yes  |  Yes  |  Yes  |   No  | penbros  |
| Penguin-Kun Wars                 |  Yes  |  Yes  |  Yes  |  Yes  | pkunwar  |
| Pepper II                        |  Yes  |  Yes  |  Yes  |  Yes  | pepper2  |
| Percussor, The                   |  Yes  |  Yes  |  Yes  |  Yes  | percuss  |
| Perestroika Girls                |  Yes  |  Yes  |  Yes  |  Yes  | perestro |
| Perfect Billiard                 |  Yes  |  Yes  |  Yes  |  Yes  | pbillrd  |
| Perfect Soldiers                 |  Yes  |  Yes  |Partial|  Yes  | psoldier |
| Performan                        |  Yes  |  Yes  |  Yes  |  Yes  | perfrman |
| Peter Pack-Rat                   |  Yes  |  Yes  |  Yes  |  Yes  | peterpak |
| Pettan Pyuu                      |   No  |  Yes  |  Yes  |  Yes  | pettanp  |
| Phantom II                       |  Yes  |  Yes  |   No  |  Yes  | phantom2 |
| Phelios                          |  Yes  |  Yes  |  Yes  |  Yes  | phelios  |
| Phoenix                          |  Yes  |  Yes  |  Yes  |  Yes  | phoenix  |
| Phozon                           |  Yes  |  Yes  |  Yes  |   No  | phozon   |
| Pickin'                          |  Yes  |  Yes  |  Yes  |  Yes  | pickin   |
| Pig Newton                       |  Yes  |  Yes  |   No  |  Yes  | pignewt  |
| Pigout                           |  Yes  |  Yes  |  Yes  |  Yes  | pigout   |
| Pigskin 621AD                    |  Yes  |  Yes  |  Yes  |  Yes  | pigskin  |
| Pinball Action                   |  Yes  |  Yes  |  Yes  |  Yes  | pbaction |
| Pinbo                            |  Yes  |  Yes  |  Yes  |  Yes  | pinbo    |
| Ping Pong                        |  Yes  |  Yes  |  Yes  |  Yes  | pingpong |
| Pioneer Balloon                  |  Yes  |  Yes  |Part(2)|  Yes  | pballoon |
| Pipe Dream                       |  Yes  |  Yes  |  Yes  |  Yes  | pipedrm  |
| Pipi & Bibis / Whoopee!!         |  Yes  |  Yes  |  Yes  |  Yes  | pipibibs |
| Pirate Ship Higemaru             |  Yes  |  Yes  |  Yes  |  Yes  | higemaru |
| Pirates                          |  Yes  |  Yes  |  Yes  |  Yes  | pirates  |
| Pisces                           |  Yes  |  Yes  |  Yes  |  Yes  | pisces   |
| Pistol Daimyo no Bouken          |  Yes  |  Yes  |  Yes  |  Yes  | pistoldm |
| Pit & Run                        |  Yes  |  Yes  |Partial|  Yes  | pitnrun  |
| Pit Fighter                      |  Yes  |  Yes  |  Yes  |  Yes  | pitfight |
| Pit, The                         |  Yes  |  Yes  |  Yes  |  Yes  | thepit   |
| Pitfall II                       |  Yes  |  Yes  |  Yes  |  Yes  | pitfall2 |
| Play Girls                       |  Yes  |  Yes  |  Yes  |  Yes  | plgirls  |
| Play Girls 2                     |  Yes  |  Yes  |  Yes  |  Yes  | plgirls2 |
| PlayBall!                        |  Yes  |  Yes  |  Yes  |  Yes  | playball |
| PlayChoice-10: 1942              |  Yes  |  Yes  |  Yes  |  Yes  | pc_1942  |
| PlayChoice-10: Balloon Fight     |  Yes  |  Yes  |  Yes  |  Yes  | pc_bfght |
| PlayChoice-10: Baseball          |  Yes  |  Yes  |  Yes  |  Yes  | pc_bball |
| PlayChoice-10: Baseball Stars    |  Yes  |  Yes  |  Yes  |  Yes  | pc_bstar |
| PlayChoice-10: Captain Sky Hawk  |  Yes  |  Yes  |  Yes  |  Yes  | pc_cshwk |
| PlayChoice-10: Castlevania       |  Yes  |  Yes  |  Yes  |  Yes  | pc_cvnia |
| PlayChoice-10: Chip'n Dale - Resc|  Yes  |  Yes  |  Yes  |  Yes  | pc_rrngr |
| PlayChoice-10: Contra            |  Yes  |  Yes  |  Yes  |  Yes  | pc_cntra |
| PlayChoice-10: Double Dragon     |  Yes  |  Yes  |  Yes  |  Yes  | pc_ddrgn |
| PlayChoice-10: Double Dribble    |  Yes  |  Yes  |  Yes  |  Yes  | pc_dbldr |
| PlayChoice-10: Dr. Mario         |  Yes  |  Yes  |  Yes  |  Yes  | pc_drmro |
| PlayChoice-10: Duck Hunt         |  Yes  |  Yes  |  Yes  |  Yes  | pc_duckh |
| PlayChoice-10: Excite Bike       |  Yes  |  Yes  |  Yes  |  Yes  | pc_ebike |
| PlayChoice-10: Gauntlet          |  Yes  |  Yes  |  Yes  |  Yes  | pc_gntlt |
| PlayChoice-10: Golf              |  Yes  |  Yes  |  Yes  |  Yes  | pc_golf  |
| PlayChoice-10: Gradius           |  Yes  |  Yes  |  Yes  |  Yes  | pc_grdus |
| PlayChoice-10: Hogan's Alley     |  Yes  |  Yes  |  Yes  |  Yes  | pc_hgaly |
| PlayChoice-10: Kung Fu           |  Yes  |  Yes  |  Yes  |  Yes  | pc_kngfu |
| PlayChoice-10: Mario Bros.       |  Yes  |  Yes  |  Yes  |  Yes  | pc_mario |
| PlayChoice-10: Mario's Open Golf |  Yes  |  Yes  |  Yes  |  Yes  | pc_moglf |
| PlayChoice-10: Mega Man 3        |  Yes  |  Yes  |  Yes  |  Yes  | pc_mman3 |
| PlayChoice-10: Metroid           |  Yes  |  Yes  |  Yes  |  Yes  | pc_mtoid |
| PlayChoice-10: Mike Tyson's Punch|  Yes  |  Yes  |  Yes  |  Yes  | pc_miket |
| PlayChoice-10: Ninja Gaiden      |  Yes  |  Yes  |  Yes  |  Yes  | pc_ngaid |
| PlayChoice-10: Ninja Gaiden 2    |  Yes  |  Yes  |  Yes  |  Yes  | pc_ngai2 |
| PlayChoice-10: Ninja Gaiden 3    |  Yes  |  Yes  |  Yes  |  Yes  | pc_ngai3 |
| PlayChoice-10: Nintendo World Cup|  Yes  |  Yes  |  Yes  |  Yes  | pc_wcup  |
| PlayChoice-10: Power Blade       |  Yes  |  Yes  |  Yes  |  Yes  | pc_pwbld |
| PlayChoice-10: Pro Wrestling     |  Yes  |  Yes  |  Yes  |  Yes  | pc_pwrst |
| PlayChoice-10: RC Pro Am         |  Yes  |  Yes  |  Yes  |  Yes  | pc_rcpam |
| PlayChoice-10: Rad Racer         |  Yes  |  Yes  |  Yes  |  Yes  | pc_radrc |
| PlayChoice-10: Rad Racer II      |  Yes  |  Yes  |  Yes  |  Yes  | pc_radr2 |
| PlayChoice-10: Rockin' Kats      |  Yes  |  Yes  |  Yes  |  Yes  | pc_rkats |
| PlayChoice-10: Rush N' Attack    |  Yes  |  Yes  |  Yes  |  Yes  | pc_rnatk |
| PlayChoice-10: Rygar             |  Yes  |  Yes  |  Yes  |  Yes  | pc_rygar |
| PlayChoice-10: Solar Jetman      |  Yes  |  Yes  |  Yes  |  Yes  | pc_sjetm |
| PlayChoice-10: Super C           |  Yes  |  Yes  |  Yes  |  Yes  | pc_suprc |
| PlayChoice-10: Super Mario Bros. |  Yes  |  Yes  |  Yes  |  Yes  | pc_smb   |
| PlayChoice-10: Super Mario Bros. |  Yes  |  Yes  |  Yes  |  Yes  | pc_smb2  |
| PlayChoice-10: Super Mario Bros. |  Yes  |  Yes  |  Yes  |  Yes  | pc_smb3  |
| PlayChoice-10: Tecmo Bowl        |  Yes  |  Yes  |  Yes  |  Yes  | pc_tbowl |
| PlayChoice-10: Teenage Mutant Nin|  Yes  |  Yes  |  Yes  |  Yes  | pc_tmnt  |
| PlayChoice-10: Teenage Mutant Nin|  Yes  |  Yes  |  Yes  |  Yes  | pc_tmnt2 |
| PlayChoice-10: Tennis            |  Yes  |  Yes  |  Yes  |  Yes  | pc_tenis |
| PlayChoice-10: The Goonies       |  Yes  |  Yes  |  Yes  |  Yes  | pc_goons |
| PlayChoice-10: Track & Field     |  Yes  |  Yes  |  Yes  |  Yes  | pc_tkfld |
| PlayChoice-10: Trojan            |  Yes  |  Yes  |  Yes  |  Yes  | pc_trjan |
| PlayChoice-10: Uncle Fester's Que|  Yes  |  Yes  |  Yes  |  Yes  | pc_ftqst |
| PlayChoice-10: Volley Ball       |  Yes  |  Yes  |  Yes  |  Yes  | pc_vball |
| PlayChoice-10: Wild Gunman       |  Yes  |  Yes  |  Yes  |  Yes  | pc_wgnmn |
| PlayChoice-10: Yo! Noid          |  Yes  |  Yes  |  Yes  |  Yes  | pc_ynoid |
| Pleasure Goal / Futsal - 5 on 5 M|  Yes  |  Yes  |  Yes  |  Yes  | pgoal    |
| Pleiads                          |  Yes  | Close |  Yes  |  Yes  | pleiads  |
| Plotting                         |  Yes  |  Yes  |  Yes  |  Yes  | plotting |
| Plump Pop                        |  Yes  |  Yes  |  Yes  |  Yes  | plumppop |
| Plus Alpha                       |  Yes  |  Yes  |  Yes  |  Yes  | plusalph |
| Pnickies                         |  Yes  |  Yes  |  Yes  |  Yes  | pnickj   |
| Pocket Gal                       |  Yes  |  Yes  |  Yes  |  Yes  | pcktgal  |
| Point Blank                      |  Yes  |  Yes  |   No  |  Yes  | ptblank  |
| Poitto!                          |  Yes  |  Yes  |   No  |  Yes  | poitto   |
| Poker Ladies                     |  Yes  |  Yes  |  Yes  |  Yes  | pkladies |
| Polaris                          |  Yes  |  Yes  |Partial|  Yes  | polaris  |
| Pole Position                    |  Yes  |  Yes  | Yes(2)|  Yes  | polepos  |
| Pole Position II                 |  Yes  |  Yes  | Yes(2)|  Yes  | polepos2 |
| Police Trainer                   |  Yes  |  Yes  |  Yes  |  Yes  | policetr |
| Pollux                           |  Yes  |  Yes  |  Yes  |  Yes  | pollux   |
| Poly-Play                        |  Yes  |  Yes  |  Yes  |  Yes  | polyplay |
| Ponpoko                          |  Yes  |  Yes  |  Yes  |  Yes  | ponpoko  |
| Poolshark                        |  Yes  |  Yes  |   No  |  Yes  | poolshrk |
| Pooyan                           |  Yes  |  Yes  |  Yes  |  Yes  | pooyan   |
| Pop 'N Pop                       |  Yes  |  Yes  |  Yes  |  Yes  | popnpop  |
